task,phase,Exemplars,r_correct,condition,difficulty,set
total,1,images/Ex5.jpg,left,training,easy,4
total,1,images/Ex5.jpg,left,training,easy,4
total,1,images/Ex6.jpg,left,training,easy,4
total,1,images/Ex6.jpg,left,training,easy,4
total,1,images/Ex7.jpg,right,training,easy,4
total,1,images/Ex7.jpg,right,training,easy,4
total,1,images/Ex8.jpg,right,training,easy,4
total,1,images/Ex8.jpg,right,training,easy,4
total,2,images/Ex5.jpg,right,reversed,easy,4
total,2,images/Ex5.jpg,right,reversed,easy,4
total,2,images/Ex6.jpg,right,reversed,easy,4
total,2,images/Ex6.jpg,right,reversed,easy,4
total,2,images/Ex7.jpg,left,reversed,easy,4
total,2,images/Ex7.jpg,left,reversed,easy,4
total,2,images/Ex8.jpg,left,reversed,easy,4
total,2,images/Ex8.jpg,left,reversed,easy,4
partial,1,images/Ex1.jpg,left,training,easy,4
partial,1,images/Ex1.jpg,left,training,easy,4
partial,1,images/Ex2.jpg,left,training,easy,4
partial,1,images/Ex2.jpg,left,training,easy,4
partial,1,images/Ex3.jpg,right,training,easy,4
partial,1,images/Ex3.jpg,right,training,easy,4
partial,1,images/Ex4.jpg,right,training,easy,4
partial,1,images/Ex4.jpg,right,training,easy,4
partial,2,images/Ex1.jpg,right,reversed,easy,4
partial,2,images/Ex1.jpg,right,reversed,easy,4
partial,2,images/Ex2.jpg,left,nonreversed,easy,4
partial,2,images/Ex2.jpg,left,nonreversed,easy,4
partial,2,images/Ex3.jpg,left,reversed,easy,4
partial,2,images/Ex3.jpg,left,reversed,easy,4
partial,2,images/Ex4.jpg,right,nonreversed,easy,4
partial,2,images/Ex4.jpg,right,nonreversed,easy,4
