task,phase,Exemplars,r_correct,condition,difficulty,set
total,1,images/Ex13.jpg,left,training,easy,8
total,1,images/Ex13.jpg,left,training,easy,8
total,1,images/Ex14.jpg,left,training,easy,8
total,1,images/Ex14.jpg,left,training,easy,8
total,1,images/Ex15.jpg,right,training,easy,8
total,1,images/Ex15.jpg,right,training,easy,8
total,1,images/Ex16.jpg,right,training,easy,8
total,1,images/Ex16.jpg,right,training,easy,8
total,2,images/Ex13.jpg,right,reversed,easy,8
total,2,images/Ex13.jpg,right,reversed,easy,8
total,2,images/Ex14.jpg,right,reversed,easy,8
total,2,images/Ex14.jpg,right,reversed,easy,8
total,2,images/Ex15.jpg,left,reversed,easy,8
total,2,images/Ex15.jpg,left,reversed,easy,8
total,2,images/Ex16.jpg,left,reversed,easy,8
total,2,images/Ex16.jpg,left,reversed,easy,8
partial,1,images/Ex9.jpg,left,training,easy,8
partial,1,images/Ex9.jpg,left,training,easy,8
partial,1,images/Ex10.jpg,left,training,easy,8
partial,1,images/Ex10.jpg,left,training,easy,8
partial,1,images/Ex11.jpg,right,training,easy,8
partial,1,images/Ex11.jpg,right,training,easy,8
partial,1,images/Ex12.jpg,right,training,easy,8
partial,1,images/Ex12.jpg,right,training,easy,8
partial,2,images/Ex9.jpg,right,reversed,easy,8
partial,2,images/Ex9.jpg,right,reversed,easy,8
partial,2,images/Ex10.jpg,left,nonreversed,easy,8
partial,2,images/Ex10.jpg,left,nonreversed,easy,8
partial,2,images/Ex11.jpg,left,reversed,easy,8
partial,2,images/Ex11.jpg,left,reversed,easy,8
partial,2,images/Ex12.jpg,right,nonreversed,easy,8
partial,2,images/Ex12.jpg,right,nonreversed,easy,8
